Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total (g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added (mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added (mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Iron (mg),Zinc (mg),Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),4:0    (g),6:0    (g),8:0    (g),10:0    (g),12:0    (g),14:0    (g),16:0    (g),18:0    (g),16:1        (g),18:1    (g),20:1    (g),22:1    (g),18:2    (g),18:3    (g),18:4    (g),20:4    (g),20:5 n-3 (g),22:5 n-3 (g),22:6 n-3 (g),Water (g),Price
81,2.96,10.6,10.61,0.0,3.06,1.75,0.762,0.183,9,42,43,0,7,0,0,0,0.043,0.165,0.08800000000000001,0.034,0,5,5,5,13.4,0.42,0.0,0.0,1.2,0.07,0.0,0.3,106,79,9,0.06,0.35,0.023,3.5,124,43,0,0,0.0,0.07,0.07,0.07,0.07,0.07200000000000001,0.279,0.778,0.343,0.0,0.762,0.0,0.0,0.113,0.07,0.0,0.0,0.0,0.0,0.0,82.73,3.950688
71,3.1,10.6,10.62,0.0,1.87,1.18,0.526,0.069,8,52,52,0,4,0,0,0,0.037000000000000005,0.18,0.091,0.036000000000000004,0,5,5,5,15.4,0.5,0.0,0.2,1.1,0.03,0.0,0.2,113,87,10,0.05,0.45,0.006,2.4,132,46,0,0,0.0,0.07200000000000001,0.038,0.019,0.046,0.052000000000000005,0.16399999999999998,0.524,0.228,0.025,0.477,0.002,0.0,0.058,0.008,0.0,0.0,0.0,0.0,0.0,83.74,3.362788
63,3.17,10.78,10.75,0.0,0.92,0.594,0.26,0.033,5,54,54,0,2,0,0,0,0.019,0.18,0.092,0.035,0,5,5,5,16.6,0.44,0.0,0.0,1.1,0.01,0.0,0.1,118,89,10,0.06,0.39,0.009000000000000001,3.1,141,44,0,0,0.0,0.023,0.017,0.012,0.025,0.027000000000000003,0.085,0.269,0.118,0.016,0.235,0.0,0.0,0.028,0.004,0.0,0.0,0.0,0.0,0.0,84.41,0.41153
56,3.17,10.75,10.65,0.0,0.09,0.053,0.021,0.003,2,57,57,0,0,0,0,0,0.042,0.17800000000000002,0.093,0.035,0,5,5,5,14.6,0.47,0.0,0.0,1.1,0.01,0.0,0.0,115,95,10,0.06,0.39,0.012,2.9,147,42,0,0,0.0,0.004,0.0,0.001,0.002,0.001,0.008,0.023,0.008,0.003,0.017,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.0,85.27,0.4585620000000001
62,1.42,11.5,10.52,0.3,1.19,0.096,0.473,0.5,0,55,55,0,1,0,0,0,0.021,0.17600000000000002,0.239,0.016,0,5,5,5,11.5,0.69,0.69,0.0,1.0,1.37,1.32,1.4,146,24,10,0.36,0.42,0.085,1.2,81,54,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.023,0.002,0.436,0.005,0.0,0.3720000000000001,0.035,0.0,0.0,0.0,0.0,0.0,85.5,0.9876720000000002
63,2.37,11.65,8.28,1.2,1.08,0.585,0.267,0.105,3,18,19,3,14,0,0,19,0.034,0.121,0.307,0.085,0,11,11,11,11.2,0.26,0.0,8.9,0.6,0.17,0.0,3.4,79,65,13,0.23,0.37,0.034,1.9,174,29,0,0,0.0,0.026,0.019,0.014,0.023,0.026,0.087,0.264,0.102,0.013,0.241,0.001,0.001,0.066,0.038,0.0,0.0,0.0,0.0,0.0,84.25,0.88185
65,0.86,15.05,12.68,0.9,0.14,0.0,0.049,0.052000000000000005,1,1,2,5,7,0,0,17,0.023,0.028,0.217,0.108,0,8,8,8,4.0,0.0,0.0,5.2,0.0,0.03,0.0,0.3,20,11,11,0.14,0.09,0.038,0.3,131,14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006999999999999999,0.042,0.0,0.0,0.033,0.019,0.0,0.0,0.0,0.0,0.0,83.61,0.70548
49,0.64,10.68,8.68,0.6,0.4,0.31,0.049,0.009000000000000001,0,60,60,0,0,0,0,1,0.01,0.051,0.106,0.011,0,1,1,1,3.3,0.06,0.0,2.0,1.3,0.01,0.0,0.1,100,24,11,0.33,0.16,0.07400000000000001,0.7,79,91,1,50,0.0,0.005,0.001,0.001,0.002,0.001,0.01,0.14300000000000002,0.139,0.001,0.048,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,87.63,0.3409820000000001
191,2.96,2.82,3.67,0.0,19.1,10.176,4.525,0.789,59,178,181,0,37,0,0,0,0.023,0.19,0.09,0.044,0,2,2,2,16.8,0.14,0.0,0.8,1.1,0.12,0.0,1.7,91,92,9,0.05,0.32,0.012,4.6,136,72,0,0,0.0,0.388,0.314,0.194,0.456,0.526,1.682,4.585,1.719,0.334,3.952,0.03,0.002,0.654,0.064,0.0,0.027000000000000003,0.005,0.01,0.0,74.51,12.945558
123,3.13,4.73,4.13,0.0,10.39,7.032,3.32,0.5539999999999999,35,95,97,0,22,0,0,0,0.03,0.194,0.109,0.05,0,3,3,3,18.7,0.19,0.0,0.9,0.0,0.25,0.0,1.3,107,95,10,0.05,0.39,0.009000000000000001,3.2,132,61,0,0,0.0,0.247,0.202,0.127,0.303,0.35100000000000003,1.148,3.207,1.221,0.246,2.905,0.02,0.0,0.466,0.041,0.0,0.018000000000000002,0.003,0.006,0.0,81.24,0.5879
